Actors,Title,X,Y
 Acoryé White,Juanita,2019,6
 Ada Ameh,Òlòtūré,2020,5.4
 Ada Choi,"Chinese Odyssey (Part II), A",1995,8
 Ada Choi,S Storm,2016,5.2
 Ada Condeescu,"If I Want to Whistle, I Whistle",2010,7.1
 Ada Condeescu,Loverboy,2011,6.1
 Ada Condeescu,By the Rails,2016,5.9
 Ada Gales,A Decent Man,2018,5.5
 Ada Lupu,The Crucifixion,2017,5.1
 Ada Nicodemou,Heartbreak High,1994,7.8
 Ada Pan,Iron Ladies,2018,6
 Adah Sharma,Hasee Toh Phasee,2014,6.8
 Adah Sharma,Bypass Road,2019,5.4
 Adalberto Maria Merli,The Night Caller,1975,7
 Adam Agee,God Bless the Broken Road,2018,5.6
 Adam B. Shapiro,The Cobbler,2015,5.8
 Adam Bay,61 Days,2016,7.4
 Adam Beach,Flags of Our Fathers,2006,7.1
 Adam Bengis,My Little Pony: The Movie,2017,6.1
 Adam Brooks,Whatever Works,2009,7.1
 Adam Brown,Liberated: The New Sexual Revolution,2017,6
 Adam Butcher,Dog Pound,2010,7
 Adam Buxton,Messy Goes to Okido,2015,6.9
 Adam C. Edwards,Flight,2012,7.3
 Adam Campbell,Great News,2017,7
 Adam Chen,18 Grams of Love,2008,7.4
 Adam Chen,Unriddle,2010,7.8
 Adam Cronheim,The Battery,2013,6.4
 Adam Cyra,Pilecki,2015,4.5
 Adam Cywka,Artysci,2016,7.9
 Adam Demos,Falling Inn Love,2019,5.6
 Adam Devine,Mike and Dave Need Wedding Dates,2016,6
 Adam Devine,When We First Met,2018,6.4
 Adam Devine,Green Eggs and Ham,2019,8.2
 Adam Devine,Jexi,2019,6
 Adam DiMarco,Radio Rebel,2012,5.9
 Adam DiMarco,The Order,2019,6.8
 Adam Driver,Girls Night Out,2012,7.3
 Adam Driver,Girls Robbery,2012,7.3
 Adam Driver,Girls Secrets,2012,7.3
 Adam Driver,What If,2014,6.8
 Adam Driver,This Is Where I Leave You,2014,6.6
 Adam Driver,What If,2014,6.8
 Adam Driver,Midnight Special,2016,6.6
 Adam Driver,Silence,2017,7.2
 Adam Driver,The Man Who Killed Don Quixote,2018,6.4
 Adam Driver,Marriage Story,2019,7.9
 Adam Ferency,Na bank się uda,2019,4.4
 Adam Gibbs,Parasyte: The Maxim,2016,8.3
 Adam Gibbs,GHOUL,2018,6.9
 Adam Gibbs,Hinomaru Sumo,2018,7.2
 Adam Gopnik,Invisible Essence: The Little Prince,2019,7.7
 Adam Greaves-Neal,The Young Messiah,2016,5.6
 Adam Hampton,The Jurassic Games,2020,3.8
 Adam Henderson,Mobile Suit Gundam Seed,2002,7.7
 Adam Herschman,Accepted,2006,6.4
 Adam Hochstetter,The Massively Mixed-Up Middle School Mystery,2015,7.2
 Adam Horovitz,Roxanne Roxanne,2018,6.2
 Adam Horovitz,Golden Exits,2018,5.8
 Adam Korson,Serialized,2016,5.2
 Adam Lambert,Playmobil: The Movie,2019,4.8
 Adam Levine,The Clapper,2018,5.1
 Adam Long,The Kill Team,2019,5.9
 Adam Lundgren,Bitchkram,2012,6
 Adam Marcinowski,Thanks!,2011,8.3
 Adam Pascal,School of Rock,2003,7.1
 Adam Pålsson,Moscow Noir,2018,6.8
 Adam Pålsson,Young Wallander,2020,6.8
 Adam Rayner,The Saint,2017,4.9
 Adam Rothenberg,Ripper Street,2013,8.1
 Adam Sandler,Billy Madison,1995,6.4
 Adam Sandler,Mr. Deeds,2002,5.8
 Adam Sandler,50 First Dates,2004,6.8
 Adam Sandler,The Longest Yard,2005,6.4
 Adam Sandler,Click,2006,6.4
 Adam Sandler,You Dont Mess with the Zohan,2008,5.5
 Adam Sandler,Just Go With It,2011,6.4
 Adam Sandler,Hotel Transylvania,2012,7.1
 Adam Sandler,Thats My Boy,2012,5.5
 Adam Sandler,Hotel Transylvania 2,2015,6.7
 Adam Sandler,The Meyerowitz Stories (New and Selected),2017,6.9
 Adam Sandler,Hotel Transylvania 3: Summer Vacation,2018,6.3
 Adam Sandler,Murder Mystery,2019,6
 Adam Scherr,No Mercy,2017,6.1
 Adam Scott,"Lovely, Still",2010,7.1
 Adam Scott,Leap Year,2010,6.5
 Adam Scott,Friends with Kids,2012,6.1
 Adam Scott,The Overnight,2015,6.1
 Adam Scott,Little Evil,2017,5.7
 Adam Sevani,Step Up 2: The Streets,2008,6.2
 Adam Sevani,Step Up 3,2010,6.2
 Adam Sevani,Step Up: All In,2014,6
 Adam Sollis,Dance Academy: The Comeback,2018,7
 Adam Tuominen,A 2nd Chance,2015,4.7
 Adam Woronowicz,Święty interes,2010,4.7
 Adam Woronowicz,Baby są jakieś inne,2011,5.9
 Adama Niane,Gang of the Caribbean,2016,5.2
 Adama Niane,Get In,2019,5.6
 Adamo Dionisi,Dogman,2019,7.2
 Adamya,Autohead,2019,5.9
 Adan Canto,Designated Survivor,2016,7.5
 Adan Jodorowsky,Zoé: Panoramas,2017,6.9
 Adarsh Gautam,Bal Ganesh,2007,6.9
 Adarsh Gautam,Bal Ganesh,2007,6.9
 Adarsh Gourav,Rukh,2017,6.4
 Adarsh Gourav,The White Tiger,2021,7.2
 Addison Holley,Daniel Tigers Neighborhood,2012,7.4
 Addison Riecke,The Thundermans,2013,5.8
 Addison Tymec,Disappearance at Clifton Hill,2020,5.5
 Adeel Hashmi,The Donkey King,2018,6.4
 Adel Bencherif,Close Enemies,2018,6.3
 Adel Karam,The Insult,2019,7.7
 Adela Marghidan,Strajerii,2018,6.2
 Adelaide Castillo,Valor,2019,8.2
 Adelaide de Sousa,A Febre,2001,7.8
 Adelayo Adedayo,Gone Too Far,2014,5.7
 Adelfa Calvo,The Motive,2017,6.5
 Adelina Pestritu,#Selfie 69,2016,6.2
 Adem Atbas,Recep Ivedik 4,2014,3.7
 Ademir Esteves,Our Evil,2019,5.5
 Ademola Adedoyin,1-Oct,2014,6.6
 Ademola Adedoyin,Lara and the Beat,2018,5.8
 Aden Young,Reckoning,2020,6.6
 Adeolu Adefarasin,The Wedding Party 2: Destination Dubai,2017,4.7
 Adeolu Adefarasin,New Money,2018,4.9
 Adesua Etomi-Wellington,The Arbitration,2016,5.8
 Adesua Etomi-Wellington,Couple of Days,2016,6.5
 Adesua Etomi-Wellington,Ayamma,2016,6.7
 Adesua Etomi-Wellington,10 Days in Sun City,2017,5.2
 Adesua Etomi-Wellington,In Line,2017,5.7
 Adesua Etomi-Wellington,"Crazy, Lovely, Cool",2018,8.1
 Adesua Etomi-Wellington,King of Boys,2018,5.8
 Adesua Etomi-Wellington,The Set Up,2019,4.9
 Adetola Anifalaje,Moms at War,2018,6.2
 Adham Ahmad,From Japan to Egypt,2017,5.4
 Adhir Kalyan,Second Chance,2016,7.5
 Adhir Kalyan,Second Chance,2016,7.5
 Adhvik Mahajan,Contract,2008,4.1
 Adi Kurdi,When Will You Get Married?,2015,7.3
 Adi Shankar,Enter the Anime,2019,2.5
 Adil Dehbi,Taste of Love,2016,5.8
 Adil Dehbi,The Eddy,2020,7.2
 Adil Hussain,English Vinglish,2012,7.8
 Adil Hussain,Dagh Ujala,2015,5.1
 Adil Hussain,Force 2,2016,6.2
 Adil Hussain,The Violin Player,2016,6.9
 Adil Hussain,The Violin Player,2016,6.9
 Adil Hussain,​Maj Rati ​​Keteki,2017,7.1
 Adil Hussain,What Will People Say,2018,7.4
 Adin Rudd,Mobile Suit Gundam: Iron-Blooded Orphans,2015,7.9
 Adina Porter,Miss Virginia,2019,6.9
 Adinda Azani,Rompis,2018,7.9
 Adipati Dolken,Posesif,2017,7.3
 Adipati Dolken,3 Dara 2,2018,6.9
 Adipati Dolken,#FriendButMarried,2018,6.9
 Adipati Dolken,Love for Sale 2,2019,6.9
 Adipati Dolken,Hunter in the Blue Side of Manchester,2020,6.1
 Adithya Menon,Guna 369,2019,6.1
 Aditi Rao Hydari,The Legend of Michael Mishra,2016,4.5
 Aditi Rao Hydari,Psycho,2020,6.3
 Aditi Sharma,Laatu,2018,6.6
 Aditi Sudhir Pohankar,She,2020,6.5
 Aditi Vasudev,Do Dooni Chaar,2010,7.6
 Aditya Roy Kapoor,Action Replayy,2010,4.2
 Aditya Roy Kapoor,Guzaarish,2010,7.4
 Aditya Roy Kapoor,Yeh Jawaani Hai Deewani,2013,7.1
 Aditya Roy Kapoor,Fitoor,2016,5.4
 Aditya Roy Kapoor,Malang,2020,6.5
 Aditya Seal,Indoo Ki Jawani,2020,1.4
 Aditya Srivastav,Raat Akeli Hai,2020,7.3
 Adjetey Anang,The Perfect Picture: Ten Years Later,2020,6.3
 Adjetey Anang,Azali,2020,5.6
 Adlina Adil,Banting,2014,5.4
 Adnan Haskovic,Twice Born,2013,7.4
 Adnan Maral,Türkisch für Anfänger,2012,5.8
 Adnan Siddiqui,Mom,2017,7.3
 Adolf Hitler,The Silence of Others,2019,8
 Adrian Anghel,Povestea unui pierde vara,2018,6.6
 Adrian Bouchet,Kingsglaive: Final Fantasy XV,2016,6.8
 Adrian Carvajal,Jenni Rivera: Mariposa de Barrio,2017,6.9
 Adrian Dunbar,Line of Duty,2012,8.7
 Adrian Dunbar,Line of Duty,2012,8.7
 Adrian Grenier,Entourage,2015,6.6
 Adrian Grenier,Marauders,2016,5.5
 Adrian Grenier,Stage Mother,2020,6.5
 Adrian Holmes,V Wars,2019,6.1
 Adrian Julius Tillmann,Biohackers,2020,6.7
 Adrian Ladron,The 4th Company,2018,6.2
 Adrian Lester,Undercover,2016,6.9
 Adrian Makala,Los Simuladores,2008,8.4
 Adrian Makala,La Esclava Blanca,2016,8.3
 Adrian Martinez,Focus,2015,6.6
 Adrian Pang,Gone Shopping,2007,6.6
 Adrian Pang,Dance Dance Dragon,2012,5.7
 Adrian Pasdar,Marvel Anime: X-Men,2010,6.8
 Adrian Paul,The Graveyard Story,1991,3.9
 Adrian Paul,Black Rose,2017,2.5
 Adrian Petriw,Barbie: A Fairy Secret,2011,5.7
 Adrian Petriw,Beyblade Burst,2016,6.4
 Adrian Petriw,The Hollow,2018,7.2
 Adrian Petriw,LEGO Jurassic World: Legend of Isla Nublar,2019,6.8
 Adrian Porumboiu,The Second Game,2014,6.3
 Adrian Purcarescu,The Treasure,2016,6.7
 Adrian Quinton,Kingsman: The Secret Service,2015,7.7
 Adrian Rhodes,Khumba,2013,5.7
 Adrian Schiller,Son of God,2014,5.7
 Adrian Schiller,The Danish Girl,2016,7.1
 Adrian Titieni,Chasing Rainbows,2012,7.1
 Adrian Titieni,Domestic,2013,6.7
 Adrian Titieni,Graduation,2016,7.3
 Adriana Alexander,Barb Wire,1996,3.3
 Adriana Altaras,My Fuhrer,2007,5.5
 Adriana Botina,Holy Expectations,2019,4.6
 Adriana Cataño,Trico Tri: Happy Halloween,2018,3.5
 Adriana Paz,The Motive,2017,6.5
 Adriana Paz,No One Will Ever Know,2020,6.5
 Adriana Ugarte,Palm Trees in the Snow,2015,7.4
 Adriana Ugarte,Tad the Lost Explorer and the Secret of King Midas (English Version),2017,6.2
 Adriana Ugarte,Mirage,2019,7.4
 Adriana Ugarte,Hache,2019,6.4
 Adrianne Palicki,Legion,2010,5.3
 Adrianne Palicki,Red Dawn,2012,5.4
 Adrianne Palicki,S.W.A.T.: Under Siege,2017,4.6
 Adriano Garib,Blood Pact,2018,7
 Adriano Giannini,Consequences of Love,2004,7.5
 Adriano Giannini,A Fairy Tale Wedding,2014,5.6
 Adriano Qalbi,Love for Sale,2018,7.4
 Adriano Zumbo,Sugar Rush Christmas,2019,6.9
 Adrien Brody,The Pianist,2003,8.5
 Adrien Brody,King Kong,2005,7.2
 Adrien Brody,The Experiment,2010,6.4
 Adrien Brody,Predators,2010,6.4
 Adrien Brody,The Grand Budapest Hotel,2014,8.1
 Adrien Brody,American Heist,2015,5
 Adrien Brody,Septembers of Shiraz,2016,6.2
 Adrien Brody,Backtrack,2016,6
 Adrien Brunier,Daprès une Histoire Vraie,2017,7.2
 Adrienn Réti,Poligamy,2009,5.8
 Adrienne Branz,New Initial D the Movie Legend 2: Racer,2015,7.5
 Adrienne DeFaria,Legend of the Guardians: The Owls of GaHoole,2010,6.9
 Adrienne King,Friday the 13th,1980,6.5
 Adrienne King,Friday the 13th: Part 2,1981,6.1
 Adrienne Pickering,The Reef,2011,5.8
 Adrienne Vergara,Gaya Sa Pelikula,2020,8.7
 Adrià Collado,Km 31-2,2017,3.7
 Adrià Salazar,The Photographer Of Mauthausen,2018,6.7
 Adrián Salzedo,Tini: The New Life of Violetta,2016,5.5
 Adrián Suar,I Married a Dumbass,2016,5.5
 Adrián Suar,So Much Love to Give,2020,5.2
 Adrián Yospe,"Pizza, birra, faso",1998,7.1
 Ady An,Autumns Concerto,2009,8
 Adzi Adamu,Up North,2019,5.5
 Adèle Exarchopoulos,Blue Is the Warmest Color,2013,7.7
 Adèle Exarchopoulos,The White Crow,2019,6.6
 Adèle Simphal,Daprès une Histoire Vraie,2017,7.2
 Ae-sim Kang,Kim Ji-Young: Born 1982,2019,7.4
 Aeona Cruz,Casting JonBenet,2017,6.1
 Afalean Lu,Game Winning Hit,2009,1.9
 Afiya Bennett,Anon,2018,6.1
 Afonso Padilha,COMEDIANS of the world,2019,6.5
 Afra Saraçoglu,Kötü Çocuk,2017,2
 Afra Saraçoglu,Good Game: The Beginning,2018,4.8
 Aftab Shivdasani,Awara Paagal Deewana,2002,6.2
 Aga Muhlach,A Love Story,2007,6.5
 Aga Muhlach,Seven Sundays,2017,7.8
 Aga Muhlach,Miracle in Cell No. 7,2020,7.5
 Agata Buzek,Redemption,2013,6.2
 Agata Buzek,The Innocents,2016,7.3
 Agata Kulesza,Cold War,2018,7.6
 Agathe Bonitzer,Osmosis,2019,5.9
 Agathe Schlenker,Belle epine,2010,5.9
 Aggie Hsieh,To the Dearest Intruder,2015,6.2
 Aggy K. Adams,"Oh, Ramona!",2019,4.9
 Agnes Bruckner,The Woods,2006,5.7
 Agnes Bruckner,The Craigslist Killer,2011,5.3
 Agnes Kittelsen,Max Manus: Man of War,2010,7.3
 Agnes Kittelsen,Staying Alive,2015,5.8
 Agnes Lindström Bolmgren,The Cake General,2018,6.8
 Agnes Magruder,Without Gorky,2013,6.5
 Agnese Graziani,Happy as Lazzaro,2018,7.5
 Agnieszka Dygant,Botoks,2017,3.6
 Agnieszka Dygant,Botoks,2018,4.4
 Agnieszka Dygant,Women of Mafia,2018,4.7
 Agnieszka Grochowska,Shameless,2012,5.2
 Agnieszka Grochowska,In Darkness,2012,7.3
 Agnieszka Grochowska,Walesa: Man of Hope,2013,6.5
 Agnieszka Grochowska,Teen Spirit,2019,6.1
 Agnieszka Mandat,Piąta pora roku,2012,6.3
 Agnieszka Podsiadlik,Mug,2018,6.4
 Agnieszka Sitek,Sekal Has to Die,1998,7.3
 Agnieszka Warchulska,Back Home,2019,6
 Agnieszka Wiedlocha,Planeta Singli,2016,6.8
 Agnieszka Wiedlocha,Po Prostu Przyjaźń,2016,5.5
 Agnieszka Wiedlocha,Kobieta sukcesu,2018,4.6
 Agnieszka Wiedlocha,Proceder,2019,5.4
 Agnieszka Wlodarczyk,Sara,1997,6.5
 Agnieszka Zulewska,Sanctuary,2012,6
 Agnieszka Zulewska,Chemo,2015,6
 Agnieszka Zulewska,Squared Love,2021,5
 Agustí Villaronga,The Whistlers,2019,6.3
 Agustín Silva,Much Ado About Nothing,2016,6.5
 Agyness Deyn,The Titan,2018,4.8
 Ah-Niu,Para Para Sakura,2001,5.8
 Ah-Niu,The Wedding Diary,2012,6.7
 Ahd,Wadjda,2013,7.5
 Ahd,Rattle the Cage,2015,6.7
 Ahmad Abdulhalim,The Walls of the Moon,2015,5.7
 Ahmad Adam,Alarmoty in the Land of Fire,2017,4.5
 Ahmad El-Fishawi,122,2019,6.8
 Ahmad Thaher,Blessed Benefit,2017,6.7
 Ahmaogak Sweeney,Big Miracle,2012,6.5
 Ahmed Abdelrahman,Andaleeb El Dokki,2008,4.9
 Ahmed Awni,Warda,2014,4.1
 Ahmed Dawood,Before the Summer Crowds,2015,5.3
 Ahmed Dawood,Secret of the Nile,2016,8.2
 Ahmed Dawood,122,2019,6.8
 Ahmed El Mohammdi,Hajwala 2: Mysterious Mission,2018,3.8
 Ahmed El-Tuhami,Omar and Salma 3,2012,3.8
 Ahmed El-Tuhami,An Upper Egyptian,2014,3.1
 Ahmed Falawkas,30 Days of Luxury,2016,2.6
 Ahmed Helmy,The Beach Loafer,2004,4.7
 Ahmed Helmy,Zaki Chan,2005,6.6
 Ahmed Helmy,She Made Me a Criminal,2006,6.5
 Ahmed Helmy,Bewildered Bolbol,2010,6.4
 Ahmed Helmy,X Large,2011,7.3
 Ahmed Helmy,Flimflam,2016,5.5
 Ahmed Malek,Sheikh Jackson,2017,7
 Ahmed Mekky,Teer Enta,2009,7.2
 Ahmed Safwat,Unruly Friends,2012,5.5
 Ahmed Zaki,Alexandria ... Why?,1980,7.4
